country,agriculture,education,energy,govt,health,industry,other,transport,total
Algeria,0,1,0,0,3,2,3,0,9
Angola,4,2,5,5,8,2,7,6,39
Benin,0,1,1,1,0,1,4,1,9
Botswana,2,14,0,3,3,0,4,3,29
Burundi,0,6,2,3,7,0,11,4,33
Cameroon,5,7,4,4,5,2,11,5,43
Cape Verde,1,5,0,0,2,0,1,0,9
Central African Republic,0,2,1,4,0,0,7,3,17
Chad,0,0,0,1,0,1,4,1,7
Comoros,1,4,2,6,5,0,5,3,26
Democratic Republic of Congo,1,3,1,4,4,1,4,6,24
Republic of Congo,3,6,3,4,8,1,14,8,47
Cote D'Ivoire,2,2,0,12,5,1,13,3,38
Djibouti,1,4,0,1,6,0,6,3,21
Egypt,2,9,2,5,1,9,17,1,46
Equatorial Guinea,2,2,4,4,1,1,8,5,27
Eritrea,0,1,0,3,3,2,8,2,19
Ethiopia,5,12,8,7,5,7,33,8,85
Gabon,1,4,2,4,4,3,6,1,25
Ghana,7,20,8,7,14,1,21,9,87
Guinea,1,5,3,5,7,0,8,5,34
Guinea-Bissau,2,2,1,7,3,0,10,3,28
Kenya,5,10,4,8,15,0,14,13,69
Lesotho,1,7,0,8,5,1,15,5,42
Liberia,8,9,0,13,20,0,18,6,74
Libya,0,0,0,0,1,0,1,1,3
Madagascar,1,1,1,0,7,0,9,1,20
Malawi,2,8,2,5,1,0,3,2,23
Mali,3,6,2,4,6,2,20,5,48
Mauritania,0,0,0,2,3,0,5,3,13
Mauritius,4,9,1,9,3,0,14,7,47
Morocco,2,6,0,9,3,2,14,0,36
Mozambique,5,5,0,7,7,4,14,6,48
Namibia,4,21,1,15,3,0,21,6,71
Niger,8,5,1,4,11,2,8,2,41
Nigeria,4,3,5,0,6,2,12,11,43
Rwanda,7,10,0,7,9,1,20,6,60
Senegal,1,6,2,1,6,0,7,4,27
Seychelles,0,2,0,3,2,0,9,1,17
Sierra Leone,6,4,3,6,6,1,6,7,39
Somalia,0,0,0,2,3,0,3,0,8
South Africa,2,7,0,5,1,6,10,2,33
South Sudan,0,1,1,1,2,1,1,2,9
Sudan,8,5,9,7,12,2,16,9,68
Tanzania,11,15,0,7,6,1,8,8,56
Togo,5,2,1,5,9,0,15,4,41
Tunisia,1,1,1,3,6,0,8,1,21
Uganda,7,13,1,5,11,1,16,7,61
Zambia,3,4,6,9,12,1,13,11,59
Zimbabwe,22,18,9,21,16,3,32,13,134
